Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
Python Developer,Coditas Technologies,Hybrid - Pune,3-6 Yrs,Proven experience of 2-3 years as a Python developerexperience with one or more Python ...,https://www.naukri.com/job-listings-python-developer-coditas-technologies-pune-3-to-6-years-290525026070,"Django, Rest Api Development, Fast Api, Flask, Python, Azure Cloud, AWS, Machine Learning",2 days ago
Python Full Stack Developer - Django/Flask/FastAPI,Qcentrio,Indore,4-8 Yrs,"The ideal candidate will also have hands-on experience with SQL databases, familiarity ...",https://www.naukri.com/job-listings-python-full-stack-developer-django-flask-fastapi-qcentrio-private-limited-indore-4-to-8-years-250625912892,"Django, Azure, NoSQL, Cloud Services, Full Stack, FastAPI, API, React.js",1 week ago
Python Full Stack Developer - Django/Flask/FastAPI,Qcentrio,Pune,4-8 Yrs,"The ideal candidate will also have hands-on experience with SQL databases, familiarity ...",https://www.naukri.com/job-listings-python-full-stack-developer-django-flask-fastapi-qcentrio-private-limited-pune-4-to-8-years-250625912889,"Django, Azure, NoSQL, Cloud Services, LangChain, Hugging Face, FastAPI, API",1 week ago
Python Full Stack Developer - Django/Flask/FastAPI,Qcentrio,Ahmedabad,4-8 Yrs,". Good to Have : . - Experience with NoSQL databases (e.g., MongoDB). . - Knowledge of ...",https://www.naukri.com/job-listings-python-full-stack-developer-django-flask-fastapi-qcentrio-private-limited-ahmedabad-4-to-8-years-240625927513,"Python, Azure, NoSQL, Cloud Services, Django, Full Stack, FastAPI, API",1 week ago
AI Devops Consultant,Oracle,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru",3-5 Yrs,"Bachelor s / Master s in Computer Science, AI, Data Science, or related fields. AI / ML...",https://www.naukri.com/job-listings-ai-devops-consultant-oracle-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-5-years-030725503035,"Computer science, Computer vision, NoSQL, Postgresql, Analytical, Machine learning, MongoDB, Oracle",2 days ago
"Senior Software Engineer (Fullstack - Python, React)",Firstfuel Software,Pune,3-8 Yrs,. 3+ years building and managing APIs to industry-accepted RESTful standards . Demonstr...,https://www.naukri.com/job-listings-senior-software-engineer-fullstack-python-react-firstfuel-software-pune-3-to-8-years-280625502938,"Front end, GIT, Linux, Postgresql, MySQL, Agile, Data structures, JSON",1 week ago
Full Stack Python Developer-Male Candidates only,AM Infoweb,Pune(Kalyani Nagar),2-7 Yrs,"Education: Bachelors degree in Computer Science, Engineering, or a related field, or eq...",https://www.naukri.com/job-listings-full-stack-python-developer-male-candidates-only-am-infoweb-pune-2-to-7-years-080425022109,"Django, CSS, Fast Api, Javascript, HTML, AWS, Flask, Python",4 days ago
Data Scientist,Everestek Technosoft Solutions,"Indore, Surat, Mumbai (All Areas)",4-5 Yrs,Job Title: Data ScientistLocation: Mumbai/Indore/SuratJob Type: Full-timeAbout Us: Ever...,https://www.naukri.com/job-listings-data-scientist-everestek-technosoft-solutions-indore-surat-mumbai-all-areas-4-to-5-years-300625010216,"Python Framework, Natural Language Processing, Data Science, Cloud Technologies, SQL Database, Tensorflow, Aws Cloud, Ai Techniques",5 days ago
Sr Python FastAPI Developer,Go Digital Technology Consulting,Hybrid - Mumbai,4-7 Yrs,"Bachelors degree in IT, computer science, computer engineering, or similarRequired Qual...",https://www.naukri.com/job-listings-sr-python-fastapi-developer-go-digital-technology-consulting-mumbai-4-to-7-years-300625020910,"Fast Api, Python, Docker, Dynamo Db, Python Fast APi, Advance Sql, Postgres, Dynamo",5 days ago
AI Full stack Developer,Zealogics.com,Remote,2-5 Yrs,"Bachelors or Master s degree in Computer Science, Engineering, or related field. Strong...",https://www.naukri.com/job-listings-ai-full-stack-developer-zealogics-com-remote-2-to-5-years-280625501339,"Computer science, Backend, NoSQL, Front end, GCP, Django, Machine learning, Deployment",1 week ago
Python Systems Developer,OneCard,Pune,2-5 Yrs,Location: PuneOpportunity: We are looking for a skilled Python System Engineer with str...,https://www.naukri.com/job-listings-python-systems-developer-onecard-pune-2-to-5-years-020725032157,"Ci/Cd, Python, Jenkins, Terraform, Github, Cd, Cd, Development",3 days ago
Python (FastAPI) Engineer,Codewinglet,Surat,2-5 Yrs,Sendable is looking for a passionate Python (FastAPI) Engineer with 1-3 years of experi...,https://www.naukri.com/job-listings-python-fastapi-engineer-codewinglet-private-limited-surat-2-to-5-years-260625500444,"Access control, MS SQL, Backend, GIT, Architecture, GCP, Cloud, Cosmos",1 week ago
Python Developer - FastAPI Expertise,Leading Client,"Noida, Delhi / NCR",4-6 Yrs,"Proficient in building robust backend systems, integrating with various databases (e.g....",https://www.naukri.com/job-listings-python-developer-fastapi-expertise-bizbrolly-noida-delhi-ncr-4-to-6-years-040725912178,"Python, Docker, PostgreSQL, Python Developer, SQLAlchemy, Pytest, MongoDB, FastAPI",1 day ago
Python Full Stack Developer - Django/Flask/FastAPI,Qcentrio,Pune,4-8 Yrs,Job Position : Python DeveloperExperience : 5+ Yrs into Python DeveloperLocation : anyw...,https://www.naukri.com/job-listings-python-full-stack-developer-django-flask-fastapi-qcentrio-private-limited-pune-4-to-8-years-130625920166,"Django, Azure, NoSQL, Cloud Services, Full Stack, FastAPI, API, React.js",3 weeks ago
Python Full Stack Developer - Django/Flask/FastAPI,Qcentrio,Ahmedabad,4-8 Yrs,Job Position : Python DeveloperExperience : 5+ Yrs into Python DeveloperLocation : anyw...,https://www.naukri.com/job-listings-python-full-stack-developer-django-flask-fastapi-qcentrio-private-limited-ahmedabad-4-to-8-years-130625920163,"Django, Azure, NoSQL, Cloud Services, Full Stack, FastAPI, API, React.js",3 weeks ago
